Seller	No. of times it competes for buybox	No. of times it wins the buybox
5 starbooks	1	0
HKGNBooks	2	0
StarMark Book Shop	5	0
Sufiyan Books	1	0
OS BOOKS	2	0
BlossoMoney	4	0
Kusuma World Of Wonder	1	0
M S BOOK ZONE	4	0
wonder books	1	0
nimmo THE ULTIMATE	3	0
SP books	2	1
Eternal_Books	2	0
ABC Book Shop	1	0
Readers INC	2	0
Vintage Book Shop	5	0
BOOKDELHI	4	1
14M	2	0
SAI_BOOKS	1	0
S A R Book Shopee	3	0
HMT ENTERPRISE	2	0
sunrise books	4	1
Creation & Point	1	0
JAIN BOOK SHOP, Satya Niketan	4	0
Book World Dehradun	4	0
BOOKLAND PUBLICATIONS	2	0
ENDSEARCH	3	0
Shandaar Books Store	6	0
GPS Group	2	0
SH00NYA	1	0
Universe book store	1	0
Amor Book Center	2	0
BOOKS TOWN	2	0
Gunjan Enterprisea	2	0
ADITYA SINGH	1	0
Ak Enterprises.	4	0
V. G. Books	1	0
Garg Library	2	0
Consortium Books	2	0
SPECTRAL	11	0
Your Book store	8	0
Panworld_Books	3	0
AS SEEN ON TV PRODUCT	3	1
A2ZShopping	2	0
Bookfalcon	2	0
MAULI	1	0
deep books stall	1	0
Arora Book Store	1	0
OrignalProduct	2	0
JAIN BOOK STORE	3	0
Eat so what!	1	0
Readers_library	1	1
Top-Choice-Books	1	0
Avalon Shop	3	0
FairDeal Impex IN	1	0
Agri Books	1	0
Asha Book House	1	1
Pustak Planet	1	0
M S Book Center	1	0
Classic Book Center	3	0
washingtonstore	3	0
Readers Digest Book & Home Entertainment	3	3
NPR Collection	3	0
RCB Centre	4	0
Get My Book	2	0
Complete Kannada	1	0
k book store	1	0
Aarohi Book House.	3	0
Intailnet	3	0
Book Darbar	4	0
NITIN X BOOK STORE	1	0
HOME BOOK STORE	3	0
Universal Book Point	4	0
Indian Gallery	2	0
maa books store	1	0
TIDY BOOKSTORE	1	1
Book Columns	1	0
zombozone	1	0
SSDN Creation	2	0
THE KNOWLEDGE WAREHOUSE	3	0
MT BOOKS	1	0
madan book service	3	0
Book Fetch	1	0
law book world	1	0
NAPC	1	0
onlinebookschennai	1	0
Chaudhary Book Store	1	0
Scholars Without Borders	2	0
Drishti BooksEnterprise2020	1	0
KLICKHIGH	1	0
THE WORD BOOK SHOP	3	0
ARE TRADERS	1	0
Subhash Book Store	3	0
procurement_specialist	1	0
joya book	1	0
ARE TRADERS.	0	1
EXLNT BOOK CENTER	3	1
Embassy_Books	2	0
Prem Books	6	0
LEON BOOKS	3	0
Tuk Tuk Books..	0	1
Akrithi Krishna (AK) Enterprises	1	0
delhiopenbooks	3	2
Webnet	1	0
Shanmukh Sai Agencies	1	0
Roy's Book Service	1	0
PRASADBOOK	2	0
Priyanka Book House	2	0
Raghu Magic Books	1	0
saraswati pustakalaya	1	0
Batra's Book collection	1	0
kumar company	2	0
Arshy Store	1	0
Omnibooks	4	0
All_in-One	1	0
Buy Amazing-Books	2	0
For Sure Enterprises	1	0
EmploymentHours	1	0
Swag Starzz	4	0
Sonu Book Services	2	0
Start up book store	1	0
Thorat International	1	0
Signaturebookshouse	2	0
js books	1	0
Mahaveer Book	2	0
padhaakoo	5	0
Khwaish Distributors	3	0
goodone traders	2	0
MS USED BOOK WORLD	1	0
Arora Book	4	1
JAIN BOOKS STORE	1	0
Underdog books	3	1
